method,ARI,NMI
scDGCLImpute,0.63389,0.80128
raw,0.49742,0.76127
DrImpute,0.61412,0.80982
MAGIC,0.52197,0.71677
SAVER,0.55263,0.7818
scImpute,0.50348,0.7468
GE-Impute,0.55426,0.7799
CL-Impute,0,0
