method,ARI,NMI
scDGCLImpute,0.99952,0.99882
raw,0.75854,0.77935
DrImpute,0.99922,0.99875
MAGIC,0.33612,0.48443
SAVER,0.88552,0.88124
scImpute,0.8012,0.88066
GE-Impute,0.99828,0.99639
CL-Impute,0.86237,0.93101
