method,RMSE
scDGCLImpute,2.203558804
raw,6.992507546
DrImpute,2.292930259
MAGIC,18.44078901
SAVER,25.9576763
scImpute,4.380828892
GE-Impute,2.942573817
CL-Impute,2.216485353
