method,L1
scDGCLImpute,0.503570961
raw,0.885811556
DrImpute,0.45319562
MAGIC,7.247205856
SAVER,7.146861736
scImpute,0.53444142
GE-Impute,0.526511333
CL-Impute,0.49077501
