method,RMSE
scDGCLImpute,2.597817967
raw,5.705434633
DrImpute,5.043238998
MAGIC,5.118793946
SAVER,6.419517348
scImpute,7.208430646
GE-Impute,4.725033358
CL-Impute,2.763926878
