method,PCC
scDGCLImpute,0.759892012
raw,0.608212957
DrImpute,0.648216979
MAGIC,0.64025704
SAVER,0.467411011
scImpute,0.635065144
GE-Impute,0.646613943
CL-Impute,0.714036288
