method,RMSE
scDGCLImpute,3.160108447
raw,10.09325121
DrImpute,3.586232318
MAGIC,18.64746502
SAVER,27.12165137
scImpute,6.273243322
GE-Impute,4.254678418
CL-Impute,3.17526287
