method,PCC
scDGCLImpute,0.929356625
raw,0.699714921
DrImpute,0.749452407
MAGIC,0.828124815
SAVER,0.628974433
scImpute,0.844086394
GE-Impute,0.788633094
CL-Impute,0.924046503
