method,RMSE
scDGCLImpute,8.467115882
raw,25.87786084
DrImpute,13.07430269
MAGIC,22.07934329
SAVER,36.86302308
scImpute,17.89416786
GE-Impute,12.08443103
CL-Impute,9.131003891
