method,L1
scDGCLImpute,0.105355657
raw,0.145932488
DrImpute,0.14487325
MAGIC,0.297099632
SAVER,0.356557553
scImpute,0.252357691
GE-Impute,0.12532788
CL-Impute,0.108675299
