method,L1
scDGCLImpute,0.381181853
raw,0.69327863
DrImpute,0.605408812
MAGIC,0.976153235
SAVER,1.081973446
scImpute,0.816235649
GE-Impute,0.526998081
CL-Impute,0.376146397
