method,PCC
scDGCLImpute,0.997813072
raw,0.978669898
DrImpute,0.995013697
MAGIC,0.985502768
SAVER,0.954416799
scImpute,0.990161614
GE-Impute,0.995328465
CL-Impute,0.997428088
