method,L1
scDGCLImpute,0.86441516
raw,1.718420444
DrImpute,0.861497136
MAGIC,7.349262271
SAVER,7.797657208
scImpute,1.057636773
GE-Impute,0.890313333
CL-Impute,0.842938466
