method,PCC
scDGCLImpute,0.994148658
raw,0.948387143
DrImpute,0.980310374
MAGIC,0.979766013
SAVER,0.921815219
scImpute,0.977434921
GE-Impute,0.985901645
CL-Impute,0.992396686
