method,PCC
scDGCLImpute,0.973078639
raw,0.830087365
DrImpute,0.889531237
MAGIC,0.905326362
SAVER,0.747032152
scImpute,0.856369371
GE-Impute,0.895435466
CL-Impute,0.967089103
