method,RMSE
scDGCLImpute,3.013821715
raw,3.576631045
DrImpute,3.336262552
MAGIC,3.646889322
SAVER,4.294971428
scImpute,5.078128629
GE-Impute,3.38635368
CL-Impute,3.101692892
