method,PCC
scDGCLImpute,0.811262775
raw,0.719253466
DrImpute,0.762049034
MAGIC,0.727677575
SAVER,0.552683343
scImpute,0.679140548
GE-Impute,0.75320747
CL-Impute,0.798032095
