method,L1
scDGCLImpute,3.450296211
raw,6.943148
DrImpute,5.061388478
MAGIC,9.744024575
SAVER,12.52126525
scImpute,5.212177213
GE-Impute,3.743158667
CL-Impute,3.463073051
