method,PCC
scDGCLImpute,0.788921738
raw,0.662621882
DrImpute,0.705766572
MAGIC,0.688099881
SAVER,0.511180077
scImpute,0.653096543
GE-Impute,0.701759528
CL-Impute,0.791863769
