method,L1
scDGCLImpute,0.273311823
raw,0.520077774
DrImpute,0.438659955
MAGIC,0.855849125
SAVER,0.988252396
scImpute,0.642554739
GE-Impute,0.38323598
CL-Impute,0.274257223
