method,L1
scDGCLImpute,0.186408261
raw,0.24291394
DrImpute,0.234600176
MAGIC,0.353099228
SAVER,0.388169915
scImpute,0.367506377
GE-Impute,0.218894816
CL-Impute,0.191330403
