method,L1
scDGCLImpute,6.507783846
raw,11.70002844
DrImpute,9.777753026
MAGIC,13.34301405
SAVER,16.86429206
scImpute,9.794700047
GE-Impute,7.418936444
CL-Impute,6.589971391
