method,PCC
scDGCLImpute,0.955839637
raw,0.767073795
DrImpute,0.823676633
MAGIC,0.872564363
SAVER,0.691257275
scImpute,0.854695099
GE-Impute,0.847131897
CL-Impute,0.951109103
