method,L1
scDGCLImpute,0.507002727
raw,0.867426358
DrImpute,0.78624776
MAGIC,1.106089391
SAVER,1.185040617
scImpute,0.99529885
GE-Impute,0.691267562
CL-Impute,0.503421365
