method,L1
scDGCLImpute,0.142768978
raw,0.194614171
DrImpute,0.188441007
MAGIC,0.32491521
SAVER,0.371674732
scImpute,0.309268318
GE-Impute,0.170378687
CL-Impute,0.147351856
