method,RMSE
scDGCLImpute,2.035848005
raw,4.949622316
DrImpute,4.063428617
MAGIC,4.347288432
SAVER,5.895543097
scImpute,6.845025025
GE-Impute,3.948066812
CL-Impute,2.274801024
