method,RMSE
scDGCLImpute,14.35545751
raw,40.21077161
DrImpute,25.80707266
MAGIC,28.665176
SAVER,48.50943179
scImpute,28.67446602
GE-Impute,21.4323417
CL-Impute,16.09464508
