method,RMSE
scDGCLImpute,5.144153317
raw,16.62330585
DrImpute,6.839691582
MAGIC,19.56573989
SAVER,30.50093165
scImpute,11.31980147
GE-Impute,7.658590253
CL-Impute,5.337980426
