method,PCC
scDGCLImpute,0.99983412
raw,0.998357903
DrImpute,0.999821378
MAGIC,0.988375643
SAVER,0.976737781
scImpute,0.999347408
GE-Impute,0.999704276
CL-Impute,0.999832157
