method,RMSE
scDGCLImpute,3.377995221
raw,4.090258758
DrImpute,3.925103699
MAGIC,4.119388045
SAVER,4.556028828
scImpute,5.640513045
GE-Impute,3.93076113
CL-Impute,3.627755163
