method,RMSE
scDGCLImpute,3.266918944
raw,6.36575912
DrImpute,5.892681762
MAGIC,5.866251124
SAVER,6.919024029
scImpute,7.85687024
GE-Impute,5.480343201
CL-Impute,3.432544675
