method,PCC
scDGCLImpute,0.999128054
raw,0.991022951
DrImpute,0.9985473
MAGIC,0.987461203
SAVER,0.968238894
scImpute,0.995792306
GE-Impute,0.998024201
CL-Impute,0.999059809
